task,AUC,ACC,SP,SE,MCC,f1_label1,f1_label0,precision_label1,precision_label0
ames,0.988±0.001,0.94±0.003,0.902±0.003,0.973±0.003,0.881±0.006,0.946±0.003,0.933±0.004,0.921±0.003,0.967±0.004
lm-human,0.989±0.001,0.931±0.005,0.906±0.007,0.973±0.003,0.862±0.01,0.915±0.006,0.943±0.004,0.864±0.009,0.982±0.002
herg-10um,0.962±0.003,0.89±0.005,0.857±0.005,0.921±0.006,0.78±0.011,0.895±0.005,0.884±0.006,0.869±0.005,0.913±0.006
lm-mouse,0.981±0.002,0.923±0.006,0.866±0.01,0.967±0.004,0.845±0.013,0.934±0.005,0.908±0.008,0.903±0.007,0.954±0.006
f50,0.983±0.003,0.931±0.01,0.889±0.017,0.961±0.005,0.858±0.02,0.942±0.008,0.915±0.012,0.923±0.011,0.943±0.008
pgp_inh,0.998±0.0,0.974±0.003,0.95±0.006,0.993±0.001,0.947±0.006,0.977±0.003,0.97±0.004,0.962±0.004,0.99±0.001
dili,1.0±0.0,0.998±0.0,1.0±0.0,0.996±0.001,0.996±0.001,0.998±0.001,0.999±0.0,1.0±0.0,0.997±0.001
oatp1b1,0.988±0.002,0.948±0.004,0.932±0.002,0.96±0.006,0.893±0.009,0.956±0.004,0.937±0.005,0.953±0.002,0.941±0.008
cyp3a4-inh,0.987±0.002,0.938±0.007,0.92±0.007,0.965±0.006,0.875±0.013,0.927±0.008,0.946±0.006,0.891±0.009,0.974±0.004
cyp2d6-sub,0.998±0.0,0.975±0.005,0.943±0.011,0.998±0.0,0.95±0.01,0.979±0.004,0.969±0.006,0.961±0.008,0.997±0.0
H-HT,0.97±0.005,0.893±0.01,0.831±0.017,0.939±0.005,0.781±0.02,0.91±0.008,0.869±0.012,0.882±0.011,0.91±0.008
Hepatotoxicity,0.967±0.006,0.888±0.014,0.892±0.016,0.881±0.01,0.771±0.028,0.87±0.015,0.901±0.012,0.859±0.021,0.91±0.008
cyp3a4-sub,0.998±0.001,0.973±0.007,0.956±0.011,0.988±0.003,0.946±0.013,0.975±0.006,0.971±0.007,0.963±0.009,0.986±0.004
aggregators,0.985±0.003,0.946±0.005,0.976±0.002,0.885±0.011,0.876±0.011,0.914±0.008,0.961±0.003,0.945±0.004,0.947±0.005
oatp1b3,0.992±0.002,0.954±0.01,0.923±0.012,0.967±0.009,0.89±0.023,0.967±0.007,0.923±0.016,0.967±0.005,0.924±0.021
pgp_sub,0.999±0.0,0.988±0.004,0.982±0.005,0.995±0.002,0.976±0.008,0.986±0.004,0.989±0.004,0.978±0.006,0.996±0.002
cyp2d6-inh,0.99±0.003,0.96±0.009,0.972±0.005,0.914±0.025,0.879±0.028,0.904±0.022,0.975±0.006,0.895±0.019,0.977±0.006
carcinogenicity,0.994±0.004,0.959±0.015,0.956±0.014,0.964±0.017,0.917±0.03,0.952±0.018,0.965±0.013,0.939±0.019,0.974±0.012
bbb,0.999±0.001,0.985±0.006,0.98±0.008,0.989±0.006,0.97±0.013,0.988±0.005,0.982±0.008,0.986±0.005,0.984±0.008
