task,r2,rmse,mae
logp,0.985±0.001,0.226±0.009,0.155±0.008
pka_acidic,0.96±0.003,0.67±0.026,0.339±0.03
cl-plasma,0.951±0.004,1.142±0.043,0.611±0.047
logs,0.963±0.002,0.417±0.012,0.257±0.013
logvdss,0.953±0.004,0.137±0.006,0.069±0.007
pka_basic,0.95±0.003,0.704±0.019,0.345±0.031
t12,0.95±0.003,0.41±0.014,0.196±0.014
logd,0.968±0.003,0.226±0.009,0.157±0.009
mdck,0.926±0.005,0.147±0.005,0.074±0.007
caco2,0.935±0.004,0.164±0.005,0.101±0.005
ppb,0.948±0.003,6.225±0.179,3.263±0.238
cl-int,0.91±0.005,0.217±0.006,0.132±0.007
